Year,State,Beverage Type,Beverage Gallon,Ethanol Gallon,Population(>14),Average(>14),Decile(>14),Population(>21),Average(>21),Decile(>21),Source,ABV,Ethanol by ABV
1971,Alabama,All Beverages,,3881950,2560385,15162,10.0,2068321,18769,10.0,,,
1971,Alaska,Spirits,1029000.0,463050,215277,21509,1.0,170598,27143,1.0,,,
1971,Alaska,Wine,582000.0,93120,215277,4326,2.0,170598,5458,2.0,,,
1971,Alaska,Beer,6336000.0,285120,215277,13244,3.0,170598,16713,2.0,,,
1971,Alaska,All Beverages,,841290,215277,39079,1.0,170598,49314,1.0,,,
1971,Arizona,Spirits,3274000.0,1473300,1376038,10707,5.0,1114048,13225,5.0,,,
1971,Arizona,Wine,2999000.0,479840,1376038,3487,4.0,1114048,4307,4.0,,,
1971,Arizona,Beer,41837000.0,1882665,1376038,13682,2.0,1114048,16899,2.0,,,
1971,Arizona,All Beverages,,3835805,1376038,27876,4.0,1114048,34431,4.0,,,
1971,Arkansas,Spirits,1815000.0,816750,1467988,5564,10.0,1206524,6769,10.0,,,
1971,Arkansas,Wine,1258000.0,201280,1467988,1371,8.0,1206524,1668,8.0,,,
1971,Arkansas,Beer,25020000.0,1125900,1467988,7670,10.0,1206524,9332,10.0,,,
1971,Arkansas,All Beverages,,2143930,1467988,14605,10.0,1206524,17769,10.0,,,
1971,California,Spirits,46657000.0,20995650,15231436,13784,3.0,12563372,16712,3.0,,,
1971,California,Wine,64162000.0,10265920,15231436,6740,1.0,12563372,8171,1.0,,,
1971,California,Beer,380397000.0,17117865,15231436,11239,7.0,12563372,13625,7.0,,,
1971,California,All Beverages,,48379435,15231436,31763,2.0,12563372,38508,2.0,,,
1971,Colorado,Spirits,4993000.0,2246850,1693618,13267,3.0,1367905,16425,3.0,,,
1971,Colorado,Wine,3983000.0,637280,1693618,3763,3.0,1367905,4659,3.0,,,
1971,Colorado,Beer,45359000.0,2041155,1693618,12052,5.0,1367905,14922,5.0,,,
1971,Colorado,All Beverages,,4925285,1693618,29081,3.0,1367905,36006,2.0,,,
1971,Connecticut,Spirits,7318000.0,3293100,2279133,14449,2.0,1894979,17378,2.0,,,
1971,Connecticut,Wine,5240000.0,838400,2279133,3679,4.0,1894979,4424,4.0,,,
1971,Connecticut,Beer,50381000.0,2267145,2279133,9947,8.0,1894979,11964,8.0,,,
